rule,date,rank,code,name,auction_pct,close_vs_open_pct,win,score
gap-only-v11,2026-08-25,1,600143,金发科技,3.006,-1.933,0,99.707
gap-only-v11,2026-08-25,2,003035,南网能源,2.967,-3.665,0,98.493
gap-only-v11,2026-08-25,3,002173,创新医疗,3.056,2.264,1,97.453
gap-only-v11,2026-08-25,4,002666,德联集团,3.118,-1.918,0,94.659
gap-only-v11,2026-08-25,5,601388,怡球资源,2.687,-0.597,0,85.753
gap-only-v11,2026-08-25,6,002762,金发拉比,2.678,-5.149,0,85.348
gap-only-v11,2026-08-25,7,002130,沃尔核材,2.647,4.789,1,83.932
gap-only-v11,2026-08-25,8,002880,卫光生物,3.366,6.634,1,82.707
gap-only-v11,2026-08-25,9,603580,艾艾精工,2.5,0.0,0,77.273
gap-only-v11,2026-08-25,10,605303,园林股份,2.455,7.559,1,75.248
gap-only-v11,2026-08-26,1,600155,华创云信,3.03,0.168,1,98.623
gap-only-v11,2026-08-26,2,600246,万通发展,3.043,-0.87,0,98.024
gap-only-v11,2026-08-26,3,002639,雪人集团,3.046,-3.723,0,97.923
gap-only-v11,2026-08-26,4,603087,甘李药业,2.951,0.712,1,97.793
gap-only-v11,2026-08-26,5,603095,越剑智能,2.927,-1.159,0,96.674
gap-only-v11,2026-08-26,6,001285,瑞立科密,3.086,1.567,1,96.105
gap-only-v11,2026-08-26,7,603979,金诚信,3.094,6.91,1,95.731
gap-only-v11,2026-08-26,8,601611,中国核建,3.198,0.376,1,90.978
gap-only-v11,2026-08-26,9,000017,深中华A,2.791,7.209,1,90.486
gap-only-v11,2026-08-26,10,605366,宏柏新材,3.222,-2.964,0,89.838
gap-only-v11,2026-08-27,1,603261,立航科技,3.016,6.986,1,99.293
gap-only-v11,2026-08-27,2,002886,沃特股份,2.979,7.012,1,99.042
gap-only-v11,2026-08-27,3,603158,腾龙股份,2.955,1.907,1,97.963
gap-only-v11,2026-08-27,4,600183,生益科技,3.054,5.377,1,97.563
gap-only-v11,2026-08-27,5,002384,东山精密,2.943,0.268,1,97.409
gap-only-v11,2026-08-27,6,603271,永杰新材,3.065,-3.343,0,97.056
gap-only-v11,2026-08-27,7,603773,沃格光电,2.872,2.636,1,94.174
gap-only-v11,2026-08-27,8,603228,景旺电子,3.139,4.171,1,93.672
gap-only-v11,2026-08-27,9,002916,深南电路,3.152,1.753,1,93.09
gap-only-v11,2026-08-27,10,601208,东材科技,2.778,7.213,1,89.899
gap-only-v11,2026-08-28,1,603662,柯力传感,3.021,-1.369,0,99.066
gap-only-v11,2026-08-28,2,002279,久其软件,2.964,7.02,1,98.369
gap-only-v11,2026-08-28,3,600641,先导基电,2.941,-0.588,0,97.326
gap-only-v11,2026-08-28,4,603580,艾艾精工,3.08,0.534,1,96.365
gap-only-v11,2026-08-28,5,603002,宏昌电子,2.898,1.597,1,95.35
gap-only-v11,2026-08-28,6,603813,原尚股份,2.801,0.851,1,90.974
gap-only-v11,2026-08-28,7,002439,启明星辰,3.204,-1.341,0,90.703
gap-only-v11,2026-08-28,8,603399,永杉锂业,2.785,-1.326,0,90.234
gap-only-v11,2026-08-28,9,600099,林海股份,2.775,-1.281,0,89.764
gap-only-v11,2026-08-28,10,002698,博实股份,2.773,-2.773,0,89.693
gap-only-v11,2026-08-31,1,601595,上海电影,3.001,7.023,1,99.945
gap-only-v11,2026-08-31,2,000042,中洲控股,2.992,-3.452,0,99.634
gap-only-v11,2026-08-31,3,600675,中华企业,2.991,-5.983,0,99.611
gap-only-v11,2026-08-31,4,002482,广田集团,2.985,-2.239,0,99.322
gap-only-v11,2026-08-31,5,603308,应流股份,3.023,-2.364,0,98.936
gap-only-v11,2026-08-31,6,000589,贵州轮胎,2.975,-1.831,0,98.856
gap-only-v11,2026-08-31,7,600508,上海能源,2.97,-5.116,0,98.65
gap-only-v11,2026-08-31,8,600246,万通发展,2.97,7.013,1,98.65
gap-only-v11,2026-08-31,9,001914,招商积余,3.044,-3.269,0,98.001
gap-only-v11,2026-08-31,10,603833,欧派家居,3.049,-5.457,0,97.783
gap-only-v11,2026-09-01,1,600410,华胜天成,3.035,6.936,1,98.424
gap-only-v11,2026-09-01,2,605006,山东玻纤,3.04,-7.138,0,98.167
gap-only-v11,2026-09-01,3,600352,浙江龙盛,3.061,-2.669,0,97.217
gap-only-v11,2026-09-01,4,000751,锌业股份,3.095,-0.967,0,95.692
gap-only-v11,2026-09-01,5,000737,北方铜业,3.16,-1.909,0,92.728
gap-only-v11,2026-09-01,6,603068,博通集成,2.798,0.153,1,90.83
gap-only-v11,2026-09-01,7,000960,锡业股份,2.791,-4.78,0,90.492
gap-only-v11,2026-09-01,8,603001,奥康国际,2.769,-4.319,0,89.48
gap-only-v11,2026-09-01,9,603989,艾华集团,2.702,-7.819,0,86.447
gap-only-v11,2026-09-01,10,603067,振华股份,3.371,-7.921,0,82.463
gap-only-v11,2026-09-02,1,000692,惠天热电,2.989,-1.379,0,99.478
gap-only-v11,2026-09-02,2,600871,石化油服,3.057,-5.677,0,97.42
gap-only-v11,2026-09-02,3,601015,陕西黑猫,3.093,-7.474,0,95.783
gap-only-v11,2026-09-02,4,000553,安道麦A,3.098,-6.024,0,95.541
gap-only-v11,2026-09-02,5,000608,阳光股份,2.897,1.793,1,95.298
gap-only-v11,2026-09-02,6,000059,华锦股份,3.161,-5.324,0,92.664
gap-only-v11,2026-09-02,7,600722,金牛化工,2.824,3.821,1,91.996
